Name,Description,Classifiers,Defining Organization Unit,Judging Assessment,Supporting Course Of Action,Supporting Directive,Parent,Sub-Desired Result,Amplified Vision,Quantifying Objective
100-Year Storm Protection,,,,,,,,,,
100-year Storm Protection,,,,,,,"Definition:""BMM Goal"":""Infrastructure Improvements""",,,
A cohesive community,,,,,"Definition:""BMM Strategy"":""Strengthen connections among communities""
Definition:""BMM Strategy"":""Support strengthening of neighborhood cohesion""
Definition:""BMM Strategy"":""Contribute to accessible community""",,,,,
"A community that is stable, responsive and adaptable",,,,,"Definition:""BMM Strategy"":""Provide innovative and adaptable housing options""
Definition:""BMM Strategy"":""Strengthen partnerships and services for vulnerable people""
Definition:""BMM Strategy"":""Prevention strategies for outcomes addressing social change""
Definition:""BMM Strategy"":""Sthengthen neighborhoods for participatory economy""",,,,,
Access to Transportation,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Adequate Supply of Quality Housing,,,,,"Definition:""BMM Strategy"":""Building Standards""
Definition:""BMM Strategy"":""Rental Ratio""
Definition:""BMM Strategy"":""Occupancy Standards""
Definition:""BMM Strategy"":Utilities
Definition:""BMM Strategy"":""Sustainable Affordable Housing""
Definition:""BMM Strategy"":""Mis of Housing""",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Adult Education,"Adult Education/Literacy (Traditional and Financial)
",,,,,,"Definition:""BMM Goal"":Education",,,
Agency Performance Reports,"Agency financial and performance reports
",,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Agency Plans,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
"Align Planning Budgeting, Results",,,,,,,"Definition:""BMM Goal"":""Open & Effective Government""","Definition:""BMM Goal"":""Performance Audits""
Definition:""BMM Goal"":""Customer Needs Analysis""
Definition:""BMM Goal"":""Long-Term Financial Plan""
Definition:""BMM Goal"":""Enterprise Priorities""
Definition:""BMM Goal"":""Budgeting for Results""
Definition:""BMM Goal"":""Balanced Budget""
Definition:""BMM Goal"":""Agency Plans""
Definition:""BMM Goal"":""Performance Plan""
Definition:""BMM Goal"":""Agency Performance Reports""
Definition:""BMM Goal"":""Results Reviews""",,
Arrest Violent Offenders,,,,,,,"Definition:""BMM Goal"":Policing",,,
Assessibility to Activities,"Accessibility to Activities and/or Programs for Youth, Adults and Seniors",,,,,,"Definition:""BMM Goal"":""Recreation/Culature""",,,
Attract and retain talented people,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Attract higher-wage industries,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Attractive Neighborhoods,,,,,"Definition:""BMM Strategy"":""Clean & Maintained""
Definition:""BMM Strategy"":""Code Enforcement""
Definition:""BMM Strategy"":Parking
Definition:""BMM Strategy"":""Nice Public Spaces""
Definition:""BMM Strategy"":""Planned/Designed Utility Location""",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Balanced Budget,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Best Practices & Innovation,,,,,,,"Definition:""BMM Goal"":""Open & Effective Government""","Definition:""BMM Goal"":""Recuriting and Retention""
Definition:""BMM Goal"":""Culture of Creativity""
Definition:""BMM Goal"":""Technical Support""
Definition:""BMM Goal"":""Tools & Techniques""
Definition:""BMM Goal"":""Employee Development""
Definition:""BMM Goal"":""Innovative Approaches""",,
Better hiring practices,,,,,,,"Definition:""BMM Goal"":""Human Capital & Culture""",,,
Blight Code Enforcement,Enforcement and reduction of code violations including hearings and remediation,,,,,,"Definition:""BMM Goal"":""Reduction of Neighborhood Blight""",,,
Blight Reduction,,,,"""Flood inpact""","Definition:""BMM Strategy"":""Use ex-offeders to cut overgrown lots""",,"Definition:""BMM Goal"":""Community Partnerships""",,,
Blight Removal,,,,,,,"Definition:""BMM Goal"":""Reduction of Neighborhood Blight""",,,
Budgeting for Results,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Business community,,,,,,,"Definition:""BMM Goal"":Collaboration",,,
Can Move Around,,,,,"Definition:""BMM Strategy"":Streets
Definition:""BMM Strategy"":Connectivity
Definition:""BMM Strategy"":""Bike Lanes""
Definition:""BMM Strategy"":Trails
Definition:""BMM Strategy"":Busses",,"Definition:""BMM Goal"":""Improved Community Quality""",,,
Capital Improvment Program,Infrastructure improvements that support Capital Improvement Program.,,,,,,"Definition:""BMM Goal"":""Infrastructure Improvements""",,,
Children and Families,"Addresses:

High school graduation rate

Youth crime and violence rates

Health measure",,,,,,,"Definition:""BMM Goal"":""Recreation/Culature""
Definition:""BMM Goal"":Education
Definition:""BMM Goal"":""Safe Environment""
Definition:""BMM Goal"":Jobs
Definition:""BMM Goal"":Health","""A Model, Unified, Creative City""",
Citizen Preparation,"Citizen preparation, mitigation and notification
",,,,,,"Definition:""BMM Goal"":""Emergency Preparedness & Response""",,,
Citizens of New Orleans,,,,,,,"Definition:""BMM Goal"":Collaboration",,,
Citywide training,,,,,,,"Definition:""BMM Goal"":""Human Capital & Culture""",,,
Clean Audits,,,,,,,"Definition:""BMM Goal"":Integrity",,,
Code Violation Enforcement,Enforcement and reduction of code violations including hearings and remediation,,,,,,,,,
Collaborate on economic development planning,,,,,,,"Definition:""BMM Goal"":""Foster Economic Development Collaboration""",,,
Collaboration,,,,,,,"Definition:""BMM Goal"":Innovation","Definition:""BMM Goal"":""Community Organizations""
Definition:""BMM Goal"":Non-profits
Definition:""BMM Goal"":""Business community""
Definition:""BMM Goal"":""Other government entities""
Definition:""BMM Goal"":""Citizens of New Orleans""",,
Command and Response Structure,"Coordinated and effective response and command structure for all public efforts.
",,,,,,"Definition:""BMM Goal"":""Emergency Preparedness & Response""",,,
Community Engagement Across Generations,,,,,,,"Definition:""BMM Goal"":""Safe Environment""",,,
Community Health Assessment,"Community Health assessment, investigation and tracking",,,,,,"Definition:""BMM Goal"":Health",,,
Community Organizations,,,,,,,"Definition:""BMM Goal"":Collaboration",,,
Community Partnerships,,,,,,,"Definition:""BMM Goal"":""Public Safety""","Definition:""BMM Goal"":""Engaged Citizens""
Definition:""BMM Goal"":""Public Education""
Definition:""BMM Goal"":""Community Relations Training""
Definition:""BMM Goal"":""Effective Oversight""
Definition:""BMM Goal"":""Youth Programs""
Definition:""BMM Goal"":""Blight Reduction""",,
Community Partnerships for Results,,,,,,,"Definition:""BMM Goal"":""Effective Partnerships""",,,
Community Policing,,,,,,,"Definition:""BMM Goal"":Policing",,,
Community Relations Training,,,,,,,"Definition:""BMM Goal"":""Community Partnerships""",,,
Complementary Policies,,,,,,,"Definition:""BMM Goal"":""Effective Partnerships""",,,
Complete Investigations,"Complete and thorough investigations
",,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Consistent Feedback,Use consistent feedback for better results.,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Coordinate wiht businesses,,,,,,,"Definition:""BMM Goal"":""Provide Business Support Services""",,,
Coordination and integration,,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Crime Prevention,,,,,,,"Definition:""BMM Goal"":Policing",,,
Cultivation,,,,,,,"Definition:""BMM Goal"":Innovation","Definition:""BMM Goal"":""Improved community communication""
Definition:""BMM Goal"":""Improve NOLA Brand""
Definition:""BMM Goal"":""Generate new Leadership""",,
Cultural and Recreational Opportunities,,,,,,,"Definition:""BMM Goal"":""Recreation/Culature""",,,
Culture of Creativity,,,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Customer Needs Analysis,,,,,,,"Definition:""BMM Goal"":""Align Planning Budgeting, Results""",,,
Customer Outreach,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Data-Driven approaches,,,,,,,"Definition:""BMM Goal"":Research",,,
Develophigher-wage work skills,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Disease Prevention,"Education, Promotion & Deisease Prevention",,,,,,"Definition:""BMM Goal"":Health",,,
Diverse Industries,,,,,,,"Definition:""BMM Goal"":Jobs",,,
Early Learning,"Early Learning/Childhood Development
",,,,,,"Definition:""BMM Goal"":Education",,,
Economic and Educational Opportunity,,,,,,,"Definition:""BMM Goal"":Prevention",,,
Economic Development,"Addresses:

Increase in per capita income and the number of higher-wage jobs within the City, and a decrease in the City’s unemployment rate.

Increase in the number of businesses, both in traditional (e.g. shipping, tourism) and target (e.g. industries that build on the city’s natural assets and that are growth industries including healthcare, green/eco, knowledge-based, technology)

Improved processing time for businesses’ requests for City services",,,,,,,"Definition:""BMM Goal"":""Foster Economic Development Collaboration""
Definition:""BMM Goal"":""Workforce Growth & Enhancement""
Definition:""BMM Goal"":""Spur Growth of New Businesses""
Definition:""BMM Goal"":""Promote Existing Business""
Definition:""BMM Goal"":""Provide Business Support Services""","""A Model, Unified, Creative City""",
Education,,,,,,,"Definition:""BMM Goal"":""Children and Families""","Definition:""BMM Goal"":""Early Learning""
Definition:""BMM Goal"":""Pre-K-12 Success""
Definition:""BMM Goal"":""Adult Education""",,
Effective Criminal Justice System,,,,,,,"Definition:""BMM Goal"":""Public Safety""","Definition:""BMM Goal"":""Effective Sentencing""
Definition:""BMM Goal"":""Timely Prosecution""
Definition:""BMM Goal"":""Complete Investigations""
Definition:""BMM Goal"":""Recidivism Reduction""
Definition:""BMM Goal"":""Incarceration Alternatives""
Definition:""BMM Goal"":""Whitness Protection""
Definition:""BMM Goal"":""Coordination and integration""
Definition:""BMM Goal"":Technology",,
Effective Customer Access,Quick and easy,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Effective Media Relations,,,,,,,"Definition:""BMM Goal"":""Internal/External Customer Service""",,,
Effective Oversight,,,,,,,"Definition:""BMM Goal"":""Community Partnerships""",,,
Effective Partnerships,,,,,,,"Definition:""BMM Goal"":""Open & Effective Government""","Definition:""BMM Goal"":""Complementary Policies""
Definition:""BMM Goal"":""Results Collaboration""
Definition:""BMM Goal"":""Strong Intergovernmental Relationships""
Definition:""BMM Goal"":""Community Partnerships for Results""",,
Effective Reporting,"Accurate and thorough reporting
",,,,,,"Definition:""BMM Goal"":Integrity",,,
Effective Sentencing,Fair & Effective Sentencing,,,,,,"Definition:""BMM Goal"":""Effective Criminal Justice System""",,,
Ehance complimentary skills,,,,,,,"Definition:""BMM Goal"":""Workforce Growth & Enhancement""",,,
Eliminate Drug Markets,,,,,,,"Definition:""BMM Goal"":Policing",,,
Emergency Personnel Preparation,"Plans, training and exercises for all emergency personnel",,,,,,"Definition:""BMM Goal"":""Emergency Preparedness & Response""",,,
Emergency Preparedness & Response,,,,,,,"Definition:""BMM Goal"":""Public Safety""","Definition:""BMM Goal"":""Storm Protection System""
Definition:""BMM Goal"":""Citizen Preparation""
Definition:""BMM Goal"":""Emergency Personnel Preparation""
Definition:""BMM Goal"":""Emergency Response Equipment""
Definition:""BMM Goal"":""Command and Response Structure""",,
Emergency Response Equipment,"Have the required equipment and technology for appropriate emergency response.
",,,,,,"Definition:""BMM Goal"":""Emergency Preparedness & Response""",,,
Employee Development,Employee training and development,,,,,,"Definition:""BMM Goal"":""Best Practices & Innovation""",,,
Encourage employee innovation,,,,,,,"Definition:""BMM Goal"":""Human Capital & Culture""",,,
Energy / Environmental Management,,,,,,,"Definition:""BMM Goal"":""Sustainable Communities""","Definition:""BMM Goal"":""Reduce Utility Bills""
Definition:""BMM Goal"":""Expanded Use of Renewable Power""
Definition:""BMM Goal"":""Use of Green Technologies""
Definition:""BMM Goal"":""Integration of Environmental Programs""",,
